,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV_G,PP_G,SH_G,GW,EV_A,PP_A,SH_A,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
2,Nick Ritchie,24,ANA,LW,41,8,11,19,3,78,2.0,6,2,0,2,10,1,0,70,11.4,590,14:23,13,79,1,7,12.5
5,Troy Terry,22,ANA,C,47,4,11,15,-5,6,0.7,4,0,0,0,9,2,0,73,5.5,682,14:31,9,3,3,5,37.5
6,Nicolas Deslauriers,28,ANA,LW,59,7,6,13,-1,92,1.1,7,0,0,1,6,0,0,64,10.9,577,9:47,32,137,0,0,
7,Max Jones,21,ANA,LW,59,8,4,12,-6,36,0.5,7,0,1,0,3,1,0,102,7.8,842,14:16,18,82,11,16,40.7
8,Max Comtois,21,ANA,LW,29,5,6,11,-4,24,0.9,3,2,0,0,5,1,0,32,15.6,405,13:58,8,61,3,13,18.8
9,Jacob Larsson,22,ANA,D,60,2,9,11,-9,12,1.7,2,0,0,0,9,0,0,58,3.4,969,16:09,57,34,0,0,
10,Devin Shore,25,ANA,C,39,4,6,10,-8,8,0.4,4,0,0,1,4,2,0,47,8.5,468,11:59,13,47,39,42,48.1
11,Erik Gudbranson,28,ANA,D,44,4,5,9,0,91,2.3,4,0,0,0,4,0,1,76,5.3,882,20:02,56,76,0,0,
12,Josh Manson,28,ANA,D,50,1,8,9,-10,37,1.3,1,0,0,0,7,0,1,64,1.6,1032,20:38,65,113,0,0,
13,Brendan Guhle,22,ANA,D,30,4,4,8,-2,10,1.6,4,0,0,1,4,0,0,39,10.3,512,17:04,43,21,0,0,
30,Taylor Hall,28,ARI,LW,35,10,17,27,-3,14,2.7,8,2,0,1,13,4,0,123,8.1,671,19:10,20,22,7,16,30.4
32,Lawson Crouse,22,ARI,LW,66,15,10,25,0,33,2.8,14,0,1,3,10,0,0,109,13.8,896,13:35,29,201,24,23,51.1
33,Vinnie Hinostroza,25,ARI,C,68,5,17,22,1,14,1.5,5,0,0,0,15,1,1,132,3.8,891,13:06,26,51,26,35,42.6
34,Jordan Oesterle,27,ARI,D,58,3,10,13,-9,14,2.2,3,0,0,0,8,2,0,69,4.3,987,17:01,88,48,0,0,
38,Christian Fischer,22,ARI,RW,56,6,3,9,2,16,0.7,6,0,0,1,3,0,0,83,7.2,617,11:01,22,140,3,8,27.3
41,Ilya Lyubushkin,25,ARI,D,51,0,4,4,4,18,1.6,0,0,0,0,4,0,0,41,0.0,724,14:11,53,151,0,0,
44,Aaron Ness,29,ARI,D,24,0,1,1,1,0,0.6,0,0,0,0,1,0,0,11,0.0,301,12:32,20,17,0,0,
48,Danton Heinen,24,BOS,C,58,7,15,22,3,8,1.7,4,3,0,2,12,3,0,90,7.8,822,14:11,32,33,5,7,41.7
50,Anders Bjork,23,BOS,LW,58,9,10,19,5,10,1.8,8,1,0,0,10,0,0,66,13.6,750,12:56,21,43,2,4,33.3
51,Brandon Carlo,23,BOS,D,67,4,15,19,16,33,4.7,4,0,0,0,15,0,0,111,3.6,1372,20:29,76,126,0,0,
53,Chris Wagner,28,BOS,C,67,6,4,10,-8,47,0.0,5,0,1,0,4,0,0,78,7.7,834,12:26,31,192,115,134,46.2
54,Joakim Nordstrom,27,BOS,C,48,4,3,7,-6,17,0.0,4,0,0,0,3,0,0,49,8.2,581,12:06,31,91,1,6,14.3
55,Karson Kuhlman,24,BOS,C,25,1,5,6,3,13,0.3,0,1,0,0,5,0,0,45,2.2,313,12:32,8,36,1,3,25.0
56,Par Lindholm,28,BOS,C,40,3,3,6,6,4,0.4,3,0,0,1,3,0,0,35,8.6,450,11:15,26,23,132,156,45.8
57,Brett Ritchie,26,BOS,RW,27,2,4,6,-3,21,0.3,2,0,0,1,3,1,0,34,5.9,281,10:24,3,89,2,3,40.0
59,John Moore,29,BOS,D,24,2,1,3,-2,11,0.7,2,0,0,0,1,0,0,33,6.1,397,16:33,27,36,0,0,
60,Connor Clifton,24,BOS,D,31,2,0,2,4,12,1.1,2,0,0,0,0,0,0,20,10.0,447,14:25,33,90,0,0,
77,Conor Sheary,27,BUF,LW,55,9,10,19,-4,8,1.6,8,1,0,1,8,2,0,88,10.2,710,12:55,24,25,1,3,25.0
78,Johan Larsson,27,BUF,LW,62,6,12,18,8,26,1.3,6,0,0,0,12,0,0,60,10.0,924,14:54,31,85,322,347,48.1
80,Henri Jokiharju,20,BUF,D,69,4,11,15,-6,32,2.6,3,1,0,0,10,1,0,78,5.1,1188,17:13,63,74,0,0,
81,Jake McCabe,26,BUF,D,66,3,10,13,-11,41,2.0,2,0,1,1,10,0,0,75,4.0,1223,18:32,90,91,0,0,
82,Colin Miller,27,BUF,D,51,1,10,11,-9,22,1.4,1,0,0,1,7,3,0,79,1.3,874,17:08,40,87,0,0,
83,Curtis Lazar,24,BUF,C,38,5,5,10,-3,9,0.7,5,0,0,0,4,0,1,33,15.2,450,11:50,24,70,185,176,51.2
84,Casey Mittelstadt,21,BUF,C,31,4,5,9,-5,2,0.5,3,1,0,1,4,1,0,34,11.8,396,12:46,8,11,86,99,46.5
85,Evan Rodrigues,26,BUF,C,38,5,4,9,-8,10,0.4,4,1,0,1,4,0,0,64,7.8,430,11:19,13,20,98,115,46.0
86,Marco Scandella,29,BUF,D,31,3,6,9,9,8,2.4,3,0,0,0,6,0,0,39,7.7,514,16:36,34,38,0,0,
90,Rasmus Asplund,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,10:50,7,20,49,65,43.0
103,Lucas Wallmark,24,CAR,C,60,11,12,23,0,18,2.1,8,3,0,0,8,3,1,79,13.9,769,12:49,21,48,343,342,50.1
104,Erik Haula,28,CAR,LW,41,12,10,22,1,20,2.4,8,4,0,2,6,4,0,78,15.4,650,15:51,11,18,333,285,53.9
